X,Y,Type,Orientation
9.4,1.33,Car,0.0
9.4,0.64,Car,3.141592653589793
10.94,1.33,Car,3.141592653589793
12.5,0.63,Car,3.141592653589793
15.65,6.04,Car,1.5707963267948966
19.75,10.52,Car,0.4874
10.91,10.7,Car,-0.612
9.97,11.64,Car,2.622
3.5,9.77,Car,-0.34
4.865,9.2,Car,2.05
12.056,4.04,Car,3.07
3.947,6.54,Car,0.0
18.76,13.475999999999999,Destination,0.0
16.28,11.836,Destination,0.0
19.06,10.766,Destination,0.0
17.18,10.416,Destination,0.0
16.25,9.425999999999998,Destination,0.0
15.87,9.475999999999999,Destination,0.0
14.7,10.376,Destination,0.0
14.7,10.796,Destination,0.0
6.32,12.186,Destination,0.0
5.51,11.806,Destination,0.0
1.75,12.186,Destination,0.0
1.29,10.026,Destination,0.0
